Strong_against,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,drmundo,draven,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,ksante,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,masteryi,milio,missfortune,monkeyking,mordekaiser,morgana,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
aatrox,,,,,,,,,,,,,,,,,,,,,,,,,1028.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.9327,,,,,,,,,,,,,,,,,,,,,,,,,1011.2456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223.7532,,,746.1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahri,,,,,,,,,,,611.9646,207.3262,,,,,,,,,,,,,,,,,,,,,,545.5573,,,,,,,,,,,,,,,,,,,,,,,456.6971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akali,,,,,,,,,,,370.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.4762,,,,220.8846,,,,,,,388.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akshan,,,,,,,,,,,1055.8068,,,,,,,,,,,,,,,,,,,,,,,812.6364,,,,,,,,,,,,,,,,,,,,,,,,,783.9245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.5833,,,,,,,,,748.0535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alistar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.8848,,,,,,,,,,,,,,,,,,,181.5385,,,,,593.4501,,,,,,,,,,322.9723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.5122,,,,,,
anivia,,,,,,,,367.1411,,,328.7521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.6723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.7483,,,,,,316.0368,,,,,,,,,,,,,,,,
annie,,,,,,,,,,,161.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aphelios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashe,,,,,,,,,,,,,,,282.1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.7016,,,,,,,,,,,,,,,,,,,,,,,,,,275.349,,,,,,315.0292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.2363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aurelionsol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azir,,,,,,,,,,,176.4057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bard,,,,,,,,,,,,,,,195.2231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.6477,,,,,,,170.978,,,,,,,,,,,,,,276.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belveth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.0462,,,,598.4171,,,,,,,,,,761.6113,,,,,,,,,,643.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.5518,,,,,,
blitzcrank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.6396,,,,,,641.2447,,,,,645.3188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.9371,,,,,,,,,652.2489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caitlyn,,,,,,,,,189.4375,206.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.9436,,,,,,,,,,,,,,,,,,,,,272.0395,,,,,,,,,,,,,,,,,,,,,,,
camille,,,,,,,,,,,,,,,,,,,,,,,,,317.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0574,,,,,,,,,,,,,,,,,,,,,,,,,414.6427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.3502,,440.5644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cassiopeia,,,,,,,,,,,431.9922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.5906,,,,,,,,,,,,250.2256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.8399,,,,,,,,,,,,,,,,,,,,,,,229.6688,,,,,,,,,,,,,,,,
chogath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.1528,,,,,,,,,,,,,,,506.8002,,,,,,,,,,212.7354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.0824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corki,,215.9524,,,,,,489.4272,,,773.6678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.3641,,,,,,,,,,,,,,,,,,,,,,
darius,,,,,,,,,,,,,,,,,,,729.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.4436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742.7845,,,,,,,,,,,,,,,,,,,,1342.9759,,909.3636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diana,,,,,,,,780.1706,,,767.1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.473,,,,,,,,,,,,,,,,,,,,,,,,865.0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878.0574,,,,,,
drmundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.2471,,,,,,,,,,,,,,,,,,,,,,,213.4633,,,,,,,,,,,,,,,,,,,,,,,,,
draven,,,,,,,,,1070.0995,1139.5273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107.9175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114.7064,,,,,,,,,,,,,,,,,,,1128.1639,,,,
ekko,,,,,,,,,,,762.8035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677.7673,,,,,,,,,,,,,,521.4323,,,,,,,,,,928.4181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.0034,,,,,,
elise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.9278,,,,,,,,,,,,,,282.0909,,,,,238.0148,,,,,,,,,,,,,,,298.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.5277,,,,,,
evelynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.4841,,,,,,,,,,,,,,392.8927,,,,,,,,,,799.6864,,,,,,,,,,343.0331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.4399,,,,,,
ezreal,,,,,,,,,150.3933,277.9557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.7043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.4715,,,,,,,,,,,,,,,,,,,,,179.3241,,,,,,,,,,,,,,,,,,,,,,,
fiddlesticks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.0224,,,,,,,,,,,,,,327.51,,,,,,,,,,489.8856,,,,,,,,,,341.0709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.0194,,,,,,
fiora,,,,,,,,,,,,,,,,,,,445.4294,,,,,,583.5013,,,,,,,,,,,,,,,,,,,,,,,,,,,455.9279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.3008,,791.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fizz,,,,,,,,611.5453,,,1143.9052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.7595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.2043,,,,,,,,,,,,,,,,620.1735,,,,,,,,,,,,,,,,,,,,,,
galio,,,,,,,,,,,160.4118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gangplank,,,,,,,,,,,,,,,,,,,,,,,,,862.9046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.914,,,,,,,,,,,704.25,,,,,,,,,,,,,,,,,,,,1574.6052,,1586.3967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garen,,,,,,,,,,,,,,,,,,,,,,,,,672.8022,,,,,,,,,,,,,,,,,,,,,,,,,,,502.4938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.3453,,796.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnar,,,,,,,,,,,,,,,,,,,,,355.3821,,,,406.6133,,,,,,,,,,,,,,,,,,,,,,,,,,,312.7384,,,,,,,479.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gragas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.0249,,,,,,,,,,,520.7538,,,,,,,,,,,,,,,554.3002,,,,,,,,,,,,,,,,,,,,,,,,,,594.1617,,,,,,,,,,,,,,,584.7948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.2998,,,,,,,,,,,,,,538.2392,,,,,,,,,,836.896,,,,,,,,,,604.2892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.873,,,,,,
gwen,,,,,,,,,,,,,,,,,,,489.0414,,492.1234,,,,702.2815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1137.7803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hecarim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.0453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.1713,,,,,,,,,,,,,,,,,,,,,,,,797.8363,,,,,,,,,,602.8253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658.9774,,,,,,
heimerdinger,,,,,,,,,,,,,,,786.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807.0808,,,,,,,,,,,,,737.3062,,,,,,,,,,,,,,808.0196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738.0553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illaoi,,,,,,,,,,,,,,,,,,,,,,,,,1120.3317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051.2222,,,,,,,,,,904.3915,,,,,,,,,882.1432,,,,,,,,,,,,,,,,,,,,,,1491.8466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irelia,,,,,,,,,,,1298.7449,,,,,,,,,,,,,,1208.5708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260.2417,,,,,,,,,,,,,,,,,,,,,,,,,1039.3368,,,,,,,,,,,,,,1164.7967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
janna,,,,,184.9587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jarvaniv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.5101,,,,,,,,,,,,,,397.884,,,,,,,,,,555.9388,,,,,,,,,,396.3126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.0023,,,,,,
jax,,,,,,,,,,,,,,,,,,,517.6767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.7637,,,,,,,,,,,,,,,,,,,,,,,,,353.1006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852.0713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.9729,,,,,,,,,,,,,,,
jayce,,,444.1722,,,,,,,,,,,,,,,,,,,,,,402.1463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.2724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1243.2187,,1109.9721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
