Strong_against,aatrox,ahri,akali,akshan,alistar,amumu,anivia,annie,aphelios,ashe,aurelionsol,azir,bard,belveth,blitzcrank,brand,braum,caitlyn,camille,cassiopeia,chogath,corki,darius,diana,drmundo,draven,ekko,elise,evelynn,ezreal,fiddlesticks,fiora,fizz,galio,gangplank,garen,gnar,gragas,graves,gwen,hecarim,heimerdinger,illaoi,irelia,ivern,janna,jarvaniv,jax,jayce,jhin,jinx,ksante,kaisa,kalista,karma,karthus,kassadin,katarina,kayle,kayn,kennen,khazix,kindred,kled,kogmaw,leblanc,leesin,leona,lillia,lissandra,lucian,lulu,lux,malphite,malzahar,maokai,masteryi,milio,missfortune,monkeyking,mordekaiser,morgana,nami,nasus,nautilus,neeko,nidalee,nilah,nocturne,nunu,olaf,orianna,ornn,pantheon,poppy,pyke,qiyana,quinn,rakan,rammus,reksai,rell,renata,renekton,rengar,riven,rumble,ryze,samira,sejuani,senna,seraphine,sett,shaco,shen,shyvana,singed,sion,sivir,skarner,sona,soraka,swain,sylas,syndra,tahmkench,taliyah,talon,taric,teemo,thresh,tristana,trundle,tryndamere,twistedfate,twitch,udyr,urgot,varus,vayne,veigar,velkoz,vex,vi,viego,viktor,vladimir,volibear,warwick,xayah,xerath,xinzhao,yasuo,yone,yorick,yuumi,zac,zed,zeri,ziggs,zilean,zoe,zyra
rumble,,,,,,,,486.2196,,,,,,,,,,,,,,,,,,,,,,,,391.3951,,,,,,,,,,,,,,,,,,,,,,,,,,,767.7069,,,,,,,,,,,,,,,879.0152,,,,,,,,,,,,,,,,,,,440.7311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ryze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samira,,,,,,,,,612.8681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.1254,470.6238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.8791,,,,,,,,,,,,,,,,,,,,,482.4721,,,,,,,,,,,,,,,,,,,,,,,
sejuani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.0888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senna,,,,,781.6353,,,,,,,,,,,,888.0355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797.5027,,,,,,878.4481,,,,,,,,,,,,,,,,,,,,,798.8373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seraphine,,,,,370.3088,,,,,,,,,,,,373.9132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.0419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.6581,,,,,,,,,,,,,,,,,,,,,345.2839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sett,,,,,,,,,,,,,,,,,,,,,,,,,766.4246,,,,,,,577.0981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204.2081,,617.6009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.9574,,,,,,,,,,,,,,,,,,,359.3311,,,,,670.5735,,,,,,,,,,504.9403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.4544,,,,,,
shen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shyvana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.4167,,,,,,,,,,,,,,,,,,,
singed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.8943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665.1297,,,,,,,,,,,,,,,1060.8692,,,,,,,,,,851.9688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.708,,682.4948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sivir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skarner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sona,,,,,238.9134,,,,,,,,,,,,249.7359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.8513,,,,,,,,,,,,,,,,,,,,,174.8857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soraka,,,,,,,,,,,,,,,,,205.5559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swain,,,,,829.1409,,,,,,,,,,,,722.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.9947,,,,,,,,,,,,,,,,,724.8592,,,,,,,,,,,,,,671.5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sylas,,,,,,,,,,,457.9992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.5901,,,,,,,,,,,,,,,,,,,,,,,,628.3988,,,,,,,,,,329.4257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.2119,,,,,,
syndra,,,,,,,,420.3203,,,407.2712,,,,,,,,,,,,,,,,,,,,,,,332.1544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.8436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.421,,,,,,,,,,,,,,,,,,,,,,
tahmkench,,,,,,,,,,,,,,,191.5694,,,,203.7226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.9083,,,,,,,,,,,,,,,674.1601,,,,,,,,,,,211.5541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taliyah,,,,,,,,,,,202.9179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
talon,,,,,,,,,,,766.8177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921.0315,,,,,,,,,,,,,,,,,,,902.8322,,,,,,,,,,,,,,696.2598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988.9414,,,,,,
taric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teemo,,,,,,,,,,,,,,,,,,,786.522,,,,,,703.6842,,,,,,,,,,,481.7807,,,,,,,,,,,,,,,,,,,,,,,700.5712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014.5485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tristana,,,,,,,,,,,1167.6217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011.0664,,,,,,,,,,,,,,,,,882.5673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768.4323,,,,,,,,,,,,,,,,,824.9258,,,,,,,,,,,,,,,,,,,,,,
trundle,,,,,,161.3231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.917,,,,,364.4335,,,,,,,534.1514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.8661,,,,,,,,,,,,,,,,,,,
tryndamere,,,,,,,,,,,,,,,,,,,,,766.1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.3061,,,,,,,1078.7936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334.7524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.9617,,,,,,,,
twistedfate,,,,,,,,305.0571,,,737.2186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.1117,,,,,388.9364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.502,,,,,,,,,,,,,,,,,,,,,,
twitch,,,,,,,,,160.8457,238.2619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.7009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
udyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.2797,,,,,,,,,,,,,,520.7033,,,,,,,,,,,,,,,,,,,,555.0599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.1301,,,,,,,,,,,,,523.4151,,,,,,
urgot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.2863,,,,,,,,,,,,,,,,,,,,,,181.4588,,,,,,,,,,,,,,,223.6407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.8258,,,,,,,,,876.5377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
varus,,,,,,,,,468.7994,654.0937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.6789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.3333,,,,,,,,,,,,,,,,,,,,,483.2339,,,,,,,,,,,,,,,,,,,,,,,
vayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veigar,,,,,,,,,,,207.5867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
velkoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.7226,,,,,,,,,,,,,,,,,,,,,,,,,,791.7011,,,,,,729.4912,,,,,,,,,,,,,,,,,,,,,680.9426,,,,,,,,,,,,,,,,,,,,,,,667.7557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vex,,,335.3107,,,,,,,,525.8452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.4531,,,,,,,,222.5703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.9943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.2059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.2729,,,,,,,,,,,,,,493.7505,,,,,,,,,,626.3187,,,,,,,,,,425.6455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.4711,,,,,,
viktor,,,,,,,,331.0997,,,394.4095,258.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.4518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vladimir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.7983,,,,376.3922,,,,,,355.4176,427.6194,,,,,,,,,,,,,,,650.3321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volibear,,,,,,,,,,,,,,,,,,,638.8362,,,,,,,,,,,,,,,,,,,,,,,,,392.9784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.1744,,,,,,,,,,581.9526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985.4153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
warwick,,,,,,,,,,,,,,,,,,,967.8447,,,,,,,,,,,,,840.4835,,,,,,,,824.0935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921.6812,,,,,,,,,,,,,,,,,,,703.4693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xayah,,,,,,,,,209.4052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.9015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.8487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.8385,,,,,,,,,,,,,,,,,,,,,245.3625,,,,,,,,,,,,,,,,,,,,,,,
xerath,,,,,964.6717,,,,,,,,,,,,857.8659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.1079,,,,,,,,,,,,,,,,,,,,,,,,,,818.7685,,,,,,826.2154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xinzhao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.4421,,,,474.1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.5147,,,,,,,,,,,,,,,,,,,
yasuo,,,,,,,,,,,844.2717,,,,,,,,,,,,,,,,,,,,,,,755.6443,,,,,,,,,,,,,,,,,,,,,,,807.7872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.3934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.5539,,,,,,,,,,,,,,,,,,,,,,
yone,,,,,,,,,,,1075.3526,,,,,,,,,,,,,,877.2823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924.4086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.8175,,843.4178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yorick,,,,,,,,,,,,,,,,,,,,,,,,,754.239,,,,,,,,,,,,,421.8265,,,,,,,,,,,,,,428.2877,,,,,,,,,,,,,,,,,,,,,,618.1388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908.1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yuumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zed,,,,,,,,,,,1017.8294,,,,,,,,,,,,,,,,,,,,,,,612.7139,,,,,,,,,,,,,,,,,,,,,,,831.4808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735.6036,,,,,,,,,,,,,,702.6915,,,,,,,,,,,,,,,,,,,,,,
zeri,,,,,,,,,,326.3018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.8328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.6577,,,,,,,,,,,,,,,,,,,,,209.865,,,,,,,,,,,,,,,,,,,,,,,
ziggs,,,,,,,,581.9466,,,805.5968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.6978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.8845,,,,,,,,,,,,,,,,417.9841,,,,,,,,,,,,,,,,,,,,,,
zilean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.4045,,,,,,,,,,199.2897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zoe,,,543.1638,,,,,,,,857.7723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.4012,,,,,,,,,,,,,,,,,531.026,,,,,,622.5457,,,,,,,,,,,,,,,,
zyra,,,,,,,,,,,,,,,612.7393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.674,,,,,,,,,,,,,,,,,,,,,,,,,,677.3389,,,,,,663.7112,,,,,632.1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
